"NO.","Nama Lengkap Bank","Nama Bank","Sandi Bank"
"1","PT BANK RAKYAT INDONESIA (PERSERO) Tbk","BANK BRI","002"
"2","PT BANK MANDIRI (PERSERO) Tbk","BANK MANDIRI","008"
"3","PT BANK NEGARA INDONESIA (PERSERO) Tbk","BANK BNI","009"
"4","PT BANK TABUNGAN NEGARA (PERSERO) Tbk","BANK BTN","200"
"5","PT BANK DANAMON INDONESIA Tbk","BANK DANAMON","011"
"6","PT BANK PERMATA Tbk","BANK PERMATA ","013"
"7","PT BANK CENTRAL ASIA Tbk","BANK BCA","014"
"8","PT BANK MAYBANK  INDONESIA Tbk","BANK MAYBANK","016"
"9","PT PAN INDONESIA BANK Tbk","BANK PANIN","019"
"10","PT BANK CIMB NIAGA Tbk","BANK CIMB NIAGA","022"
"11","PT BANK UOB INDONESIA","BANK UOB","023"
"12","PT BANK OCBC NISP Tbk","BANK OCBC NISP","028"
"13","PT BANK ARTHA GRAHA INTERNASIONAL Tbk","BANK ARTHA GRAHA","037"
"14","PT BANK BUMI ARTA Tbk","BANK BUMI ARTA","076"
"15","PT BANK HSBC INDONESIA","BANK HSBC","087"
"16","PT BANK JTRUST INDONESIA Tbk","BANK JTRUST","095"
"17","PT BANK MAYAPADA INTERNATIONAL Tbk","BANK MAYAPADA","097"
"18","PT BANK OF INDIA INDONESIA Tbk","BANK INDIA INDONESIA","146"
"19","PT BANK MUAMALAT INDONESIA Tbk","BANK MUAMALAT","147"
"20","PT BANK MESTIKA DHARMA Tbk","BANK MESTIKA DHARMA","151"
"21","PT BANK SHINHAN INDONESIA","BANK SHINHAN","152"
"22","PT BANK SINARMAS Tbk","BANK SINARMAS","153"
"23","PT BANK MASPION INDONESIA Tbk","BANK MASPION","157"
"24","PT BANK GANESHA Tbk","BANK GANESHA","161"
"25","PT BANK ICBC INDONESIA","BANK ICBC","164"
"26","PT BANK QNB INDONESIA Tbk","BANK QNB","167"
"27","PT BANK WOORI SAUDARA INDONESIA 1906 Tbk","BANK WOORI SAUDARA","212"
"28","PT BANK MEGA Tbk","BANK MEGA","426"
"29","PT BANK KB BUKOPIN Tbk","BANK BUKOPIN","441"
"30","PT BANK SYARIAH INDONESIA Tbk *)","BANK SYARIAH INDONESIA","451"
"31","PT BANK KEB HANA INDONESIA","BANK KEB HANA","484"
"32","PT BANK MNC INTERNASIONAL Tbk","BANK MNC INTERNASIONAL","485"
"33","PT BANK RAKYAT INDONESIA AGRONIAGA Tbk","BANK BRI AGRONIAGA","494"
"34","PT BANK SBI INDONESIA","BANK SBI INDONESIA","498"
"35","PT BANK MEGA SYARIAH","BANK MEGA SYARIAH","506"
"36","PT BANK INDEX SELINDO","BANK INDEX SELINDO","555"
"37","PT BANK MAYORA","BANK MAYORA","553"
"38","PT BANK CHINA CONSTRUCTION BANK INDONESIA Tbk","BANK CCBI","036"
"39","PT BANK DBS INDONESIA","BANK DBS","046"
"40","PT BANK RESONA PERDANIA","BANK RESONA PERDANIA","047"
"41","PT BANK MIZUHO INDONESIA","BANK MIZUHO","048"
"42","PT BANK CAPITAL INDONESIA Tbk","BANK CAPITAL","054"
"43","PT BANK BNP PARIBAS INDONESIA","BANK BNP PARIBAS","057"
"44","PT BANK ANZ INDONESIA","BANK ANZ INDONESIA","061"
"45","PT BANK IBK INDONESIA Tbk","BANK IBK INDONESIA","945"
"46","PT BANK ALADIN SYARIAH Tbk **)","BANK ALADIN SYARIAH","947"
"47","PT BANK CTBC INDONESIA","BANK CTBC INDONESIA","949"
"48","PT BANK COMMONWEALTH","BANK COMMONWEALTH","950"
"49","PT BANK BTPN Tbk","BANK BTPN","213"
"50","PT BANK VICTORIA SYARIAH","BANK VICTORIA SYARIAH","405"
"51","PT BANK JABAR BANTEN SYARIAH","BANK BJB SYARIAH","425"
"52","PT BANK BISNIS INTERNASIONAL","BANK BISNIS INTERNASIONAL","459"
"53","PT BANK JASA JAKARTA","BANK JASA JAKARTA","472"
"54","PT BANK NEO COMMERCE Tbk","BANK NEO COMMERCE","490"
"55","PT BANK DIGITAL BCA","BANK DIGITAL BCA","501"
"56","PT BANK NATIONALNOBU Tbk","BANK NATIONALNOBU","503"
"57","PT BANK INA PERDANA Tbk","BANK INA PERDANA","513"
"58","PT BANK PANIN DUBAI SYARIAH Tbk","BANK PANIN DUBAI SYARIAH","517"
"59","PT PRIMA MASTER BANK","BANK PRIMA MASTER","520"
"60","PT BANK SYARIAH BUKOPIN","BANK BUKOPIN SYARIAH","521"
"61","PT BANK SAHABAT SAMPOERNA","BANK SAHABAT SAMPOERNA","523"
"62","PT BANK OKE INDONESIA Tbk","BANK OKE INDONESIA","526"
"63","PT BANK AMAR INDONESIA","BANK AMAR INDONESIA","531"
"64","PT BANK SEABANK INDONESIA","BANK SEABANK INDONESIA","535"
"65","PT BANK BCA SYARIAH","BANK BCA SYARIAH","536"
"66","PT BANK JAGO TBK","BANK JAGO","542"
"67","PT BANK BTPN SYARIAH Tbk","BANK BTPN SYARIAH","547"
"68","PT BANK MULTIARTA SENTOSA","BANK MULTIARTA SENTOSA","548"
"69","PT BANK FAMA INTERNASIONAL","BANK FAMA INTERNASIONAL","562"
"70","PT BANK MANDIRI TASPEN","BANK MANDIRI TASPEN","564"
"71","PT BANK VICTORIA INTERNATIONAL Tbk","BANK VICTORIA INTERNATIONAL","566"
"72","PT BANK HARDA INTERNASIONAL Tbk","BANK HARDA INTERNASIONAL","567"
"73","PT BPD JAWA BARAT DAN BANTEN Tbk","BANK BJB","110"
"74","PT BPD DKI","BANK DKI","111"
"75","PT BPD DAERAH ISTIMEWA YOGYAKARTA","BANK DI YOGYAKARTA (DIY)","112"
"76","PT BPD JAWA TENGAH","BANK JATENG","113"
"77","PT BPD JAWA TIMUR Tbk","BANK JATIM","114"
"78","PT BPD JAMBI","BANK JAMBI","115"
"79","PT BANK ACEH SYARIAH","BANK ACEH","116"
"80","PT BPD SUMATERA UTARA","BANK SUMUT","117"
"81","PT BPD SUMATERA BARAT","BANK SUMBAR","118"
"82","PT BPD RIAU KEPRI","BANK RIAU KEPRI","119"
"83","PT BPD SUMATERA SELATAN DAN BANGKA BELITUNG","BANK SUMSEL BABEL","120"
"84","PT BPD LAMPUNG","BANK LAMPUNG","121"
"85","PT BPD KALIMANTAN SELATAN","BANK KALSEL","122"
"86","PT BPD KALIMANTAN BARAT","BANK KALBAR","123"
"87","PT BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA","BANK KALTIMTARA","124"
"88","PT BPD KALIMANTAN TENGAH","BANK KALTENG","125"
"89","PT BPD SULAWESI SELATAN DAN SULAWESI BARAT","BANK SULSELBAR","126"
"90","PT BPD SULAWESI UTARA DAN  GORONTALO","BANK SULUTGO","127"
"91","PT BANK NTB SYARIAH","BANK NTB","128"
"92","PT BPD BALI","BANK BALI","129"
"93","PT BPD NUSA TENGGARA TIMUR","BANK NTT","130"
"94","PT BPD MALUKU DAN MALUKU UTARA","BANK MALUKU MALUT","131"
"95","PT BPD PAPUA","BANK PAPUA","132"
"96","PT BPD BENGKULU","BANK BENGKULU","133"
"97","PT BPD SULAWESI TENGAH","BANK SULTENG","134"
"98","PT BPD SULAWESI TENGGARA","BANK SULTRA","135"
"99","PT BPD BANTEN Tbk","BANK BANTEN","137"
"100","CITIBANK N.A.","CITIBANK N.A","031"
"101","JP MORGAN CHASE BANK NA","JP MORGAN CHASE BANK NA","032"
"102","BANK OF AMERICA N.A","BANK OF AMERICA N.A","033"
"103","BANGKOK BANK PCL","BANGKOK BANK PCL","040"
"104","MUFG BANK LTD","MUFG BANK LTD","042"
"105","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK","050"
"106","DEUTSCHE BANK AG","DEUTSCHE BANK AG","067"
"107","BANK OF CHINA (HONG KONG) LIMITED","BANK OF CHINA (HONG KONG) LIMITED","069"
"","","",""
